,explicit_sent,obscure_sent,explicit_entity,obscure_entity,fact1,fact2,answer
44,The place of birth of Lydia Maria Child is,The place of birth of the spouse of David Lee Child is,Lydia Maria Child,the spouse of David Lee Child,"['David Lee Child', 'spouse', 'Lydia Maria Child']","['Lydia Maria Child', 'place of birth', 'Medford, Massachusetts']","Medford, Massachusetts"
45,The date of birth of Mechthild of Bavaria is,"The date of birth of the mother of Philip II, Margrave of Baden-Baden is",Mechthild of Bavaria,"the mother of Philip II, Margrave of Baden-Baden","['Philip II, Margrave of Baden-Baden', 'mother', 'Mechthild of Bavaria']","['Mechthild of Bavaria', 'date of birth', '12 July 1532']",12 July 1532
46,The place of birth of Charles VII is,The place of birth of the father of Marie Marguerite de Valois is,Charles VII,the father of Marie Marguerite de Valois,"['Marie Marguerite de Valois', 'father', 'Charles VII']","['Charles VII', 'place of birth', 'Paris']",Paris
47,The place of death of Gustavo Alatriste is,The place of death of the director of Las tecnologías pesqueras is,Gustavo Alatriste,the director of Las tecnologías pesqueras,"['Las tecnologías pesqueras', 'director', 'Gustavo Alatriste']","['Gustavo Alatriste', 'place of death', 'Houston, Texas']","Houston, Texas"
48,The spouse of Selena is,The spouse of the performer of Cien Años is,Selena,the performer of Cien Años,"['Cien Años', 'performer', 'Selena']","['Selena', 'spouse', 'Chris Pérez']",Chris Pérez
49,Mansoor Khan received the,The director of Jo Jeeta Wohi Sikandar received the,Mansoor Khan,the director of Jo Jeeta Wohi Sikandar,"['Jo Jeeta Wohi Sikandar', 'director', 'Mansoor Khan']","['Mansoor Khan', 'award received', 'Filmfare Award for Best Director']",Filmfare Award for Best Director
50,The country of citizenship of Bart Sibrel is,The country of citizenship of the director of Astronauts Gone Wild is,Bart Sibrel,the director of Astronauts Gone Wild,"['Astronauts Gone Wild', 'director', 'Bart Sibrel']","['Bart Sibrel', 'country of citizenship', 'American']",American
51,The place of birth of Muhammad Ali Jinnah is,The place of birth of the spouse of Emibai Jinnah is,Muhammad Ali Jinnah,the spouse of Emibai Jinnah,"['Emibai Jinnah', 'spouse', 'Muhammad Ali Jinnah']","['Muhammad Ali Jinnah', 'place of birth', 'Karachi']",Karachi
52,The place of birth of Jelena Zrinska is,The place of birth of the spouse of Francis I Rákóczi is,Jelena Zrinska,the spouse of Francis I Rákóczi,"['Francis I Rákóczi', 'spouse', 'Jelena Zrinska']","['Jelena Zrinska', 'place of birth', 'Ozalj']",Ozalj
53,The place of birth of W. P. Kellino is,The place of birth of the director of Pay Box Adventure is,W. P. Kellino,the director of Pay Box Adventure,"['Pay Box Adventure', 'director', 'W.P. Kellino']","['W. P. Kellino', 'place of birth', 'London']",London
54,The employer of Chip Gubera is,The employer of the director of Academy of Doom is,Chip Gubera,the director of Academy of Doom,"['Academy of Doom', 'director', 'Chip Gubera']","['Chip Gubera', 'employer', 'University of Missouri']",University of Missouri
55,The place of birth of Lacy J. Dalton is,The place of birth of the performer of Slow Down is,Lacy J. Dalton,the performer of Slow Down,"['Slow Down', 'performer', 'Lacy J. Dalton']","['Lacy J. Dalton', 'place of birth', 'Bloomsburg']",Bloomsburg
56,The place of birth of Salvatore Piscicelli is,The place of birth of the director of Blues metropolitano is,Salvatore Piscicelli,the director of Blues metropolitano,"['Blues metropolitano', 'director', 'Salvatore Piscicelli']","['Salvatore Piscicelli', 'place of birth', ""Pomigliano d'Arco""]",Pomigliano d'Arco
57,The place of death of Ludowika Margaretha of Zweibrücken-Bitsch is,The place of death of the mother of Johanna Sibylla of Hanau-Lichtenberg is,Ludowika Margaretha of Zweibrücken-Bitsch,the mother of Johanna Sibylla of Hanau-Lichtenberg,"['Johanna Sibylla of Hanau-Lichtenberg', 'mother', 'Ludowika Margaretha of Zweibrücken-Bitsch']","['Ludowika Margaretha of Zweibrücken-Bitsch', 'place of death', 'Bouxwiller']",Bouxwiller
58,The spouse of Edward Buzzell is,The spouse of the director of Ann Carver's Profession is,Edward Buzzell,the director of Ann Carver's Profession,"[""Ann Carver's Profession"", 'director', 'Edward Buzzell']","['Edward Buzzell', 'spouse', 'Ona Munson']",Ona Munson
59,The date of birth of Iyasu I is,The date of birth of the father of Bakaffa is,Iyasu I,the father of Bakaffa,"['Bakaffa', 'father', 'Iyasu I']","['Iyasu I', 'date of birth', '1654']",1654
60,The place of burial of Johnny Horton is,The place of burial of the performer of Honky-Tonk Man is,Johnny Horton,the performer of Honky-Tonk Man,"['Honky-Tonk Man', 'performer', 'Johnny Horton']","['Johnny Horton', 'place of burial', 'Louisiana']",Louisiana
61,Nagesh Kukunoor received the,The director of Hyderabad Blues 2 received the,Nagesh Kukunoor,the director of Hyderabad Blues 2,"['Hyderabad Blues 2', 'director', 'Nagesh Kukunoor']","['Nagesh Kukunoor', 'award received', 'Filmfare Award']",Filmfare Award
62,Steve Vai received the,The performer of The Attitude Song received the,Steve Vai,the performer of The Attitude Song,"['The Attitude Song', 'performer', 'Steve Vai']","['Steve Vai', 'award received', 'Grammy']",Grammy
63,The place of birth of Gösta Bernhard is,The place of birth of the director of Sju svarta be-hå is,Gösta Bernhard,the director of Sju svarta be-hå,"['Sju svarta be-hå', 'director', 'Gösta Bernhard']","['Gösta Bernhard', 'place of birth', 'Västervik']",Västervik
64,The place of death of Richard Pottier is,The place of death of the director of The Beautiful Otero is,Richard Pottier,the director of The Beautiful Otero,"['The Beautiful Otero', 'director', 'Richard Pottier']","['Richard Pottier', 'place of death', 'Le Plessis-Bouchard']",Le Plessis-Bouchard
65,The place of birth of Herbert Maisch is,The place of birth of the director of Nights in Andalusia is,Herbert Maisch,the director of Nights in Andalusia,"['Nights in Andalusia', 'director', 'Herbert Maisch']","['Herbert Maisch', 'place of birth', 'Nürtingen']",Nürtingen
66,The place of birth of Nicki Minaj is,The place of birth of the performer of Changed It is,Nicki Minaj,the performer of Changed It,"['Changed It', 'performer', 'Nicki Minaj']","['Nicki Minaj', 'place of birth', 'Port of Spain']",Port of Spain
67,The date of death of Sir John Grey is,"The date of death of the father of Edmund Grey, 1st Earl of Kent is",Sir John Grey,"the father of Edmund Grey, 1st Earl of Kent","['Edmund Grey, 1st Earl of Kent', 'father', 'Sir John Grey']","['Sir John Grey', 'date of death', '1439']",1439
68,The inception of Vassar College was in,The inception of the publisher of The Miscellany News was in,Vassar College,the publisher of The Miscellany News,"['The Miscellany News', 'publisher', 'Vassar College']","['Vassar College', 'inception', '1861']",1861
69,The place of death of Albert Capellani is,The place of death of the director of Out of the Fog is,Albert Capellani,the director of Out of the Fog,"['Out of the Fog', 'director', 'Albert Capellani']","['Albert Capellani', 'place of death', 'Paris']",Paris
70,The place of birth of Finbar Furey is,The place of birth of the father of Áine Furey is,Finbar Furey,the father of Áine Furey,"['Áine Furey', 'father', 'Finbar Furey']","['Finbar Furey', 'place of birth', 'Dublin']",Dublin
71,The date of birth of Gerald Drummond is,The date of birth of the father of Gerald George Drummond is,Gerald Drummond,the father of Gerald George Drummond,"['Gerald George Drummond', 'father', 'Gerald Drummond']","['Gerald Drummond', 'date of birth', 'September 8, 1976']","September 8, 1976"
72,The country of citizenship of Liam Lynch is,The country of citizenship of the director of Sarah Silverman: Jesus Is Magic is,Liam Lynch,the director of Sarah Silverman: Jesus Is Magic,"['Sarah Silverman: Jesus Is Magic', 'director', 'Liam Lynch']","['Liam Lynch', 'country of citizenship', 'United States']",United States
73,The place of birth of Çesk Zadeja is,The place of birth of the composer of Tana is,Çesk Zadeja,the composer of Tana,"['Tana', 'composer', 'Çesk Zadeja']","['Çesk Zadeja', 'place of birth', 'Shkodër']",Shkodër
74,The place of birth of Dulce of Aragon is,The place of birth of the mother of Theresa of Portugal is,Dulce of Aragon,the mother of Theresa of Portugal,"['Theresa of Portugal', 'mother', 'Dulce of Aragon']","['Dulce of Aragon', 'place of birth', 'Barcelona']",Barcelona
75,The country of citizenship of Master P is,The country of citizenship of the director of No Tomorrow is,Master P,the director of No Tomorrow,"['No Tomorrow', 'director', 'Master P']","['Master P', 'country of citizenship', 'American']",American
76,The place of death of James Bauer is,The place of death of the director of The Black Star is,James Bauer,the director of The Black Star,"['The Black Star', 'director', 'James Bauer']","['James Bauer', 'place of death', 'Argentina']",Argentina
77,The place of birth of Björk is,The place of birth of the performer of Oceania is,Björk,the performer of Oceania,"['Oceania', 'performer', 'Björk']","['Björk', 'place of birth', 'Reykjavík']",Reykjavík
78,The date of death of Susan of Albania is,The date of death of the mother of Prince Leka of Albania is,Susan of Albania,the mother of Prince Leka of Albania,"['Prince Leka of Albania', 'mother', 'Susan Cullen-Ward']","['Susan of Albania', 'date of death', '17 July 2004']",17 July 2004
79,The place of death of Augustus II the Strong is,The place of death of the spouse of Christiane Eberhardine of Brandenburg-Bayreuth is,Augustus II the Strong,the spouse of Christiane Eberhardine of Brandenburg-Bayreuth,"['Christiane Eberhardine of Brandenburg-Bayreuth', 'spouse', 'Augustus II the Strong']","['Augustus II the Strong', 'place of death', 'Warsaw']",Warsaw
80,The spouse of Anup Sengupta is,The spouse of the director of Bangla Bachao is,Anup Sengupta,the director of Bangla Bachao,"['Bangla Bachao', 'director', 'Anup Sengupta']","['Anup Sengupta', 'spouse', 'Piya Sengupta']",Piya Sengupta
81,"The place of death of James Hamilton, 4th Duke of Hamilton is","The place of death of the father of Sir James Abercrombie, 1st Baronet is","James Hamilton, 4th Duke of Hamilton","the father of Sir James Abercrombie, 1st Baronet","['Sir James Abercrombie, 1st Baronet', 'father', 'James Hamilton, 4th Duke of Hamilton']","['James Hamilton, 4th Duke of Hamilton', 'place of death', 'Hyde Park']",Hyde Park
82,The place of death of Amelia Pincherle is,The place of death of the mother of Sabatino Enrico 'Nello' Rosselli is,Amelia Pincherle,the mother of Sabatino Enrico 'Nello' Rosselli,"[""Sabatino Enrico 'Nello' Rosselli"", 'mother', 'Amelia Pincherle']","['Amelia Pincherle', 'place of death', 'Florence']",Florence
83,The country of citizenship of Artuq is,The country of citizenship of the father of Ilghazi is,Artuq,the father of Ilghazi,"['Ilghazi', 'father', 'Artuq']","['Artuq', 'country of citizenship', 'Seljuq empire']",Seljuq empire
84,The country of citizenship of Ricardo Mella is,The country of citizenship of the father of Urania Mella Serrano is,Ricardo Mella,the father of Urania Mella Serrano,"['Urania Mella Serrano', 'father', 'Ricardo Mella']","['Ricardo Mella', 'country of citizenship', 'Spain']",Spain
85,The place of birth of George Whaley is,The place of birth of the director of Clowning Around is,George Whaley,the director of Clowning Around,"['Clowning Around', 'director', 'George Whaley']","['George Whaley', 'place of birth', 'Castlemaine, Victoria, Australia']","Castlemaine, Victoria, Australia"
86,The place of burial of Kato Svanidze is,The place of burial of the mother of Yakov Iosifovich Dzhugashvili is,Kato Svanidze,the mother of Yakov Iosifovich Dzhugashvili,"['Yakov Iosifovich Dzhugashvili', 'mother', 'Kato Svanidze']","['Kato Svanidze', 'place of burial', 'Tiflis']",Tiflis
87,The place of birth of Marcus Garvey is,The place of birth of the spouse of Amy Ashwood Garvey is,Marcus Garvey,the spouse of Amy Ashwood Garvey,"['Amy Ashwood Garvey', 'spouse', 'Marcus Garvey']","['Marcus Garvey', 'place of birth', ""Saint Ann's Bay""]",Saint Ann's Bay
88,"The place of birth of Sizzo, Prince of Schwarzburg is",The place of birth of the spouse of Princess Alexandra Therese Marie of Anhalt is,"Sizzo, Prince of Schwarzburg",the spouse of Princess Alexandra Therese Marie of Anhalt,"['Princess Alexandra Therese Marie of Anhalt', 'spouse', 'Sizzo, Prince of Schwarzburg']","['Sizzo, Prince of Schwarzburg', 'place of birth', 'Rudolstadt']",Rudolstadt
89,The place of burial of Coretta Scott King is,The place of burial of the mother of Dexter Scott King is,Coretta Scott King,the mother of Dexter Scott King,"['Dexter Scott King', 'mother', 'Coretta Scott King']","['Coretta Scott King', 'place of burial', 'Georgia']",Georgia
90,The country of citizenship of Pinedjem I is,The country of citizenship of the father of Psusennes I is,Pinedjem I,the father of Psusennes I,"['Psusennes I', 'father', 'Pinedjem I']","['Pinedjem I', 'country of citizenship', 'Ancient Egypt']",Ancient Egypt
91,"The place of death of Humphrey Stafford, 1st Duke of Buckingham is",The place of death of the father of Humphrey Stafford is,"Humphrey Stafford, 1st Duke of Buckingham",the father of Humphrey Stafford,"['Humphrey Stafford', 'father', 'Humphrey Stafford, 1st Duke of Buckingham']","['Humphrey Stafford, 1st Duke of Buckingham', 'place of death', 'Northampton']",Northampton
92,The country of citizenship of Luis Bayón Herrera is,The country of citizenship of the director of Cuidado con las imitaciones is,Luis Bayón Herrera,the director of Cuidado con las imitaciones,"['Cuidado con las imitaciones', 'director', 'Luis Bayón Herrera']","['Luis Bayón Herrera', 'country of citizenship', 'Spanish']",Spanish
93,The place of death of Martino Zaccaria is,The place of death of the father of Bartolomeo (or Bartolommeo) Zaccaria is,Martino Zaccaria,the father of Bartolomeo (or Bartolommeo) Zaccaria,"['Bartolomeo (or Bartolommeo) Zaccaria', 'father', 'Martino Zaccaria']","['Martino Zaccaria', 'place of death', 'Smyrna']",Smyrna
94,The country of citizenship of Frederick I of Denmark is,"The country of citizenship of the father of Dorothea of Denmark, Duchess of Mecklenburg is",Frederick I of Denmark,"the father of Dorothea of Denmark, Duchess of Mecklenburg","['Dorothea of Denmark, Duchess of Mecklenburg', 'father', 'Frederick I of Denmark']","['Frederick I of Denmark', 'country of citizenship', 'Norway']",Norway
95,The date of birth of  Echigues is,The date of birth of the father of Gomes Echigues is, Echigues,the father of Gomes Echigues,"['Gomes Echigues', 'father', 'Echega Guiçoi']","[' Echigues', 'date of birth', '985']",985
96,The inception of American Radio Relay League was in,The inception of the publisher of National Contest Journal was in,American Radio Relay League,the publisher of National Contest Journal,"['National Contest Journal', 'publisher', 'American Radio Relay League']","['American Radio Relay League', 'inception', '1914']",1914
97,The place of birth of Reinhold Schünzel is,The place of birth of the director of The Great Awakening is,Reinhold Schünzel,the director of The Great Awakening,"['The Great Awakening', 'director', 'Reinhold Schünzel']","['Reinhold Schünzel', 'place of birth', 'Hamburg']",Hamburg
98,The place of birth of Hamilton MacFadden is,The place of birth of the director of Hold That Girl is,Hamilton MacFadden,the director of Hold That Girl,"['Hold That Girl', 'director', 'Hamilton MacFadden']","['Hamilton MacFadden', 'place of birth', 'Boston']",Boston
99,The place of birth of Agnes Carlsson is,The place of birth of the performer of Stranded is,Agnes Carlsson,the performer of Stranded,"['Stranded', 'performer', 'Agnes']","['Agnes Carlsson', 'place of birth', 'Vänersborg']",Vänersborg
