,Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_and,ans_prob_obs_edit_subject_that,ans_prob_obs_edit_subject_but,ans_prob_obs_edit_subject_or,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_if,ans_prob_obs_edit_subject_when,ans_prob_obs_edit_subject_than,ans_prob_obs_edit_subject_because,ans_prob_obs_edit_subject_while,ans_prob_obs_edit_subject_so,ans_prob_obs_edit_subject_where,ans_prob_obs_edit_subject_since,ans_prob_obs_edit_subject_though,ans_prob_obs_edit_subject_after,ans_prob_obs_edit_subject_until,ans_prob_obs_edit_subject_whether,ans_prob_obs_edit_subject_before,ans_prob_obs_edit_subject_although,ans_prob_obs_edit_subject_even,ans_prob_obs_edit_subject_like,ans_prob_obs_edit_subject_unless,ans_prob_obs_edit_subject_nor,ans_prob_obs_edit_subject_once,ans_prob_obs_edit_subject_long,ans_prob_obs_edit_subject_except,ans_prob_obs_edit_subject_now,ans_prob_obs_edit_subject_far,ans_prob_obs_edit_subject_for,ans_prob_obs_edit_subject_soon,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_rather,ans_prob_obs_edit_subject_and/or,ans_prob_obs_edit_subject_whereas,ans_prob_obs_edit_subject_not,ans_prob_obs_edit_subject_till,ans_prob_obs_edit_subject_case,ans_prob_obs_edit_subject_provided,ans_prob_obs_edit_subject_considering,ans_prob_obs_edit_subject_given
10,10,Khoa Do received the,The director of Footy Legends received the,Khoa Do,the director of Footy Legends, Young Australian of the Year,9.007713379105553e-05,0.00029473609174601734,0.00016474619042128325,0.00024813730851747096,0.0002041451371042058,0.00027558955480344594,0.0001785859203664586,0.00022470936528407037,0.0002550015633460134,0.0001747365458868444,0.00024682609364390373,0.00029884386458434165,0.00026342194178141654,0.00026703730691224337,0.0003721049870364368,0.00016563301323913038,0.00014769095287192613,0.0001832358248066157,0.00015950870874803513,0.00023517382214777172,0.0003866626357194036,0.0002568472409620881,0.00020777455938514322,0.00021089447545818985,0.0007362230680882931,0.0001449594710720703,0.0002476511290296912,0.00020413644961081445,0.00039644932257942855,0.00013740074064116925,0.0001566733990330249,0.0001178576349047944,0.00012418905680533499,0.00020493939518928528,4.939760037814267e-05,0.00013998318172525615,0.00016422710905317217,0.00013385583588387817,0.0002478141977917403,0.00029797948081977665,5.866470019100234e-05,0.0002490674960426986
11,11,The place of death of Luciano Salce is,The place of death of the director of Basta guardarla is,Luciano Salce,the director of Basta guardarla, Rome,7.678361725993454e-05,6.88798536430113e-05,7.602996629429981e-05,6.552854756591842e-05,6.316162762232125e-05,2.3559645342174917e-05,4.302931483834982e-05,4.969625661033206e-05,5.086738747195341e-05,1.1970550986006856e-05,0.0001686354080447927,4.083414751221426e-05,7.395471766358241e-05,0.0001231396454386413,0.00010300148278474808,2.9375421945587732e-05,4.0188548155128956e-05,5.570882422034629e-05,2.3794164007995278e-05,7.760855805827305e-05,3.0303704988909885e-05,4.1506111301714554e-05,4.5649470848729834e-05,5.5360713304253295e-05,1.844143662310671e-05,0.00012205270468257368,9.423949086340144e-05,0.0001162459229817614,1.710598917270545e-05,1.5057657037687022e-05,7.20135067240335e-05,5.868784228368895e-06,3.596765600377694e-05,2.448817940603476e-05,1.96608598344028e-05,0.00010782910248963162,1.1359767995600123e-05,1.7221507732756436e-05,5.893504567211494e-05,7.097040361259133e-05,2.780221848297515e-06,8.498496026732028e-05
12,12,The place of birth of Fernando Di Leo is,The place of birth of the director of Mister Scarface is,Fernando Di Leo,the director of Mister Scarface, San Ferdinando di Puglia,0.00010485482926014811,8.889639138942584e-05,0.00013035144365858287,7.736875704722479e-05,8.311983401654288e-05,1.3257495993457269e-05,3.0284156309789978e-05,0.00010371763346483931,4.3584357626968995e-05,2.91709275188623e-05,0.0003249618166591972,5.149691060069017e-05,1.9561317458283156e-05,0.00011121788702439517,8.25733004603535e-05,5.29585377080366e-05,6.94208501954563e-05,1.9493190848152153e-05,4.76419563710806e-06,5.463686466100626e-05,4.5143606257624924e-05,2.8826776542700827e-05,3.268442378612235e-05,1.086558222596068e-05,0.00011861951497849077,2.517923894629348e-05,4.8549230996286497e-05,6.614358426304534e-05,6.29402493359521e-05,5.113358565722592e-05,6.0175818362040445e-05,3.447895869612694e-05,0.00013185346324462444,2.690651672310196e-05,3.178293991368264e-05,7.228095637401566e-05,2.3466183847631328e-05,3.056457717320882e-05,0.0001105794362956658,3.44836080330424e-05,7.92388163972646e-06,5.6377797591267154e-05
13,13,The employer of Éric Rohmer is,The employer of the director of Love in the Afternoon is,Éric Rohmer,the director of Love in the Afternoon, Cahiers du cinéma,9.485859777669248e-07,1.2702726053248625e-06,1.31369847622409e-06,7.105772397153487e-07,1.0171721669394174e-06,1.0841752100532176e-06,2.679688122952939e-06,2.0256968582543777e-06,1.2586367574840551e-06,1.613624817764503e-06,2.2651533981843386e-06,2.31589660870668e-06,6.478632599282719e-07,9.826080713537522e-07,3.5111131637677317e-06,3.0549790608347394e-06,4.234111656842288e-06,1.4330316844279878e-06,7.340942147493479e-07,2.0424406557140173e-06,2.004177076742053e-06,1.8583895098345238e-06,1.459908844481106e-06,7.362918950093444e-07,7.231022891573957e-07,6.258791813706921e-07,8.464175493827497e-07,1.6259108406302403e-06,4.943708518112544e-07,6.112405230851436e-07,9.426501605958038e-07,4.91515208977944e-07,2.975918278025347e-06,1.5411585536639905e-06,3.4543691640465113e-07,2.1983842088957317e-06,4.7608608610971714e-07,1.0895873856497929e-06,1.1109536899311934e-06,9.572199815011118e-07,1.0493681656953413e-06,3.985091552749509e-06
14,14,The date of death of Sergei Eisenstein is,The date of death of the director of The General Line is,Sergei Eisenstein,the director of The General Line, 11 February 1948,0.0016354047693312168,0.0038609665352851152,0.013681793585419655,0.005454938858747482,0.006013746839016676,0.0016311603831127286,0.00931885838508606,0.0029388440307229757,0.002619997365400195,0.002254244638606906,0.009939230047166348,0.004316749516874552,0.0034577050246298313,0.0029229100327938795,0.01867968589067459,0.008492705412209034,0.011062446050345898,0.00774487666785717,0.0009751098114065826,0.004983054008334875,0.008536268025636673,0.004000898916274309,0.002106777159497142,0.0016013277927413583,0.001977527281269431,0.006531206425279379,0.0017174170352518559,0.009001040831208229,0.0041288575157523155,0.004767505452036858,0.005047984886914492,0.0011738191824406385,0.007807075046002865,0.0032430007122457027,0.004525521770119667,0.006537190172821283,0.0019435122376307845,0.004211244639009237,0.002879910869523883,0.004022364970296621,0.0015491328667849302,0.0037159211933612823
15,15,The cause of death of Philippa of Hainault is,The cause of death of the mother of Joan of England is,Philippa of Hainault,the mother of Joan of England, edema,2.1813923467561835e-06,1.0192520676355343e-06,1.146162844634091e-06,1.284361133002676e-06,1.0342093901272165e-06,7.580346732538601e-07,1.2281562931093504e-06,1.4297512507255306e-06,6.840945161457057e-07,2.990016696458042e-07,1.6760134258220205e-06,9.152867619377503e-07,3.0649541713501094e-06,1.8090433968609432e-06,1.913431106004282e-06,2.4832004328345647e-06,2.130980419678963e-06,8.201262744478299e-07,9.652713970353943e-07,1.6105569784485851e-06,9.962469675883767e-07,9.371889291287516e-07,1.4722654668730684e-06,1.1661805956464377e-06,3.32533147684444e-07,1.642819597691414e-06,9.251866686099675e-07,4.353713393356884e-06,1.6715844139980618e-06,1.8980271079271915e-06,1.629686039450462e-06,2.4051405489444733e-06,3.911192379746353e-06,2.9279647151270183e-06,2.710931767069269e-06,3.3360606721544173e-06,8.313851935781713e-07,6.3715460782987066e-06,1.8935872958536493e-06,5.49860260434798e-07,6.19654258571245e-07,1.7993990013565053e-06
16,16,The place of death of Adolf IV of Berg is,The place of death of the father of Count Engelbert I of Berg is,Adolf IV of Berg,the father of Count Engelbert I of Berg, Altenberg,0.0001307158381678164,5.654124470311217e-05,6.183632649481297e-05,2.6907859137281775e-05,4.798758163815364e-05,1.1435282431193627e-05,2.3622034859727137e-05,7.90619887993671e-05,2.4449262127745897e-05,4.6848949750710744e-06,0.00010067398397950456,7.381096656899899e-05,7.697671208006795e-06,4.888604235020466e-05,0.00013875261356588453,0.00013177975779399276,0.0001129242591559887,2.956305252155289e-05,7.654522960365284e-06,4.364969936432317e-05,5.1590759539976716e-05,2.7544527256395668e-05,4.644968794309534e-05,1.1177437045262195e-05,4.1941009840229526e-05,1.9022563719772734e-05,2.1737214410677552e-05,6.76513445796445e-05,1.3346278137760237e-05,2.8792052034987137e-05,3.438878775341436e-05,6.64114486426115e-06,4.956215343554504e-05,3.08114686049521e-05,1.7539296095492318e-05,3.1180159567156807e-05,7.565307896584272e-06,1.6708147086319514e-05,4.955503754899837e-05,2.3045771740726195e-05,4.613308647094527e-06,5.889119711355306e-05
17,17,The date of death of Baudouin de Courtenay is,The date of death of the father of Cezaria Jędrzejewiczowa is,Baudouin de Courtenay,the father of Cezaria Jędrzejewiczowa, 3 November 1929,0.0014351806603372097,0.002564836759120226,0.007043026387691498,0.0037158026825636625,0.0043583703227341175,0.0017594443634152412,0.005887927953153849,0.003303714795038104,0.002717479830607772,0.0008914132486097515,0.006148469168692827,0.003984409850090742,0.003111853962764144,0.0030118238646537066,0.009764251299202442,0.0058726416900753975,0.007530259899795055,0.0041146609000861645,0.0015997590962797403,0.0026145060546696186,0.005221639759838581,0.0036018709652125835,0.0015900586731731892,0.0015751714818179607,0.0012954503763467073,0.004531706217676401,0.001297234557569027,0.0062464019283652306,0.0029993162024766207,0.004176370799541473,0.003998233005404472,0.0009818982798606157,0.004554464016109705,0.0024214780423790216,0.005604721140116453,0.006326292175799608,0.0018971418030560017,0.002404375234618783,0.002146877348423004,0.0011506157461553812,0.0006795422523282468,0.0028916778974235058
18,18,The place of birth of Carlos F. Borcosque is,The place of birth of the director of My Country's Wings is,Carlos F. Borcosque,the director of My Country's Wings, Valparaíso,5.70752818020992e-05,7.120845111785457e-05,0.0001359956804662943,5.014537600800395e-05,0.00010032620775746182,4.360436287242919e-05,4.610979885910638e-05,8.461537072435021e-05,4.85730852233246e-05,3.4177755878772587e-05,8.826301200315356e-05,5.832139140693471e-05,1.751873060129583e-05,4.562080721370876e-05,0.00013243051944300532,0.00016253330977633595,7.007314707152545e-05,4.768080179928802e-05,2.1547810320043936e-05,4.784567136084661e-05,7.590727909700945e-05,3.3645486837485805e-05,3.0724120733793825e-05,2.0796453100047074e-05,0.00011872524191858247,4.319635627325624e-05,4.133284164709039e-05,9.872327791526914e-05,1.8460874343873e-05,3.2865937100723386e-05,0.00011768083641072735,7.4426448009035084e-06,7.853489660192281e-05,5.120207060826942e-05,3.059191658394411e-05,3.307229417259805e-05,3.9212958654388785e-05,1.772783616615925e-05,8.809183782432228e-05,3.510118767735548e-05,1.9948331100749783e-05,0.00016376770508941263
19,19,The employer of Joseph Barbera is,The employer of the director of Gallopin' Gals is,Joseph Barbera,the director of Gallopin' Gals, Van Beuren Studios,5.17204853167641e-06,1.0335995284549426e-05,1.9563849491532892e-05,3.94027210859349e-06,1.1725296644726768e-05,1.3055524505034555e-05,3.0955914553487673e-05,3.207432382623665e-05,7.832057235646062e-06,2.027111804636661e-05,2.985017272294499e-05,2.1511670638574287e-05,7.30886813471443e-06,5.1955530580016784e-06,5.4583266319241375e-05,2.6982877898262814e-05,4.129072112846188e-05,1.3360670891415793e-05,5.71194004805875e-06,2.2570362489204854e-05,1.7919483070727438e-05,1.0373636541771702e-05,1.5249025636876468e-05,4.299159172660438e-06,2.4459443011437543e-05,5.111454811412841e-06,7.721367182966787e-06,1.7706015569274314e-05,6.48188188279164e-06,5.630327905237209e-06,1.260018143511843e-05,7.072950666042743e-06,5.020060416427441e-05,1.1289987924101297e-05,1.311586038355017e-05,1.697158586466685e-05,9.161189154838212e-06,2.8355218091746792e-05,2.408090585959144e-05,1.6182062609004788e-05,4.2654235585359856e-05,3.823261795332655e-05
20,20,The spouse of Faith Evans is,The spouse of the performer of Burnin' Up is,Faith Evans,the performer of Burnin' Up, Notorious B.I.G.,5.378629339247709e-06,6.995236617513001e-05,0.00015728322614450008,7.659990660613403e-05,0.0002657729492057115,0.00023558351676911116,0.0003041323507204652,0.0004956558113917708,0.000269421812845394,3.606713653425686e-05,0.00021898109116591513,0.00018464434833731502,0.00010228466271655634,0.00023308688832912594,0.00021098440629430115,0.0002959005068987608,0.0004352827381808311,7.827510125935078e-05,7.984910189406946e-05,0.0002508301695343107,0.00013187318108975887,0.0003087641962338239,0.0001389298413414508,0.00022198779333848506,0.0005327326944097877,7.528650166932493e-05,0.00010460014891577885,0.00021009799093008041,0.00011876189091708511,9.336378570878878e-05,0.0002552033984102309,7.32745393179357e-05,0.0005901898839510977,0.000365093641448766,0.0004444452642928809,0.0006772411288693547,0.000725940044503659,0.00021030465723015368,0.00034974951995536685,8.560121932532638e-05,0.000514377374202013,0.00048556627007201314
21,21,Jerzy Skolimowski was educated at,The director of Walkover was educated at,Jerzy Skolimowski,the director of Walkover, National Film School in Łódź,0.0002664968487806618,0.00023333574063144624,0.00034563863300718367,0.00023720620083622634,0.00021202664356678724,0.0002268637908855453,0.00037959596375003457,0.00018736551282927394,0.000238737920881249,0.0001978082727873698,0.00019410539243835956,0.00018525199266150594,0.00015654113667551428,0.00021935216500423849,0.0003062503528781235,0.00028777687111869454,0.0002443247940391302,0.0002127756451955065,0.00029839613125659525,0.0002169992367271334,0.00026887303101830184,0.000199388901819475,0.0002128889027517289,0.00021126844512764364,0.00022662215633317828,0.00013924521044827998,0.000310575938783586,0.00036670482950285077,0.00023232890816871077,0.0002933490613941103,0.0002332263538846746,0.00022934407752472907,0.00027551886159926653,0.0002480627445038408,0.0006060324376448989,0.00039320506039075553,0.0003224755928386003,0.00041286845225840807,0.0002612403768580407,0.00033152391551993787,0.0003692664613481611,0.00027778802905231714
22,22,The place of death of Nefertiti is,The place of death of the mother of Ankhesenamun is,Nefertiti,the mother of Ankhesenamun, Amarna,7.02011093380861e-05,8.063934365054592e-05,8.989437628770247e-05,4.0663067920831963e-05,5.947456884314306e-05,3.394438317627646e-05,3.64320985681843e-05,0.00014136239769868553,4.0526290831621736e-05,2.665627653186675e-05,0.0002694513532333076,0.00012418015103321522,1.4125310372037347e-05,5.922541458858177e-05,0.00011172062659170479,0.00011705006909323856,9.171661076834425e-05,2.3786822566762567e-05,2.5444411221542396e-05,6.41331571387127e-05,2.5497762180748396e-05,2.5297447791672312e-05,5.276178126223385e-05,3.600307900342159e-05,4.666866880143061e-05,1.1778382940974552e-05,2.1984322302159853e-05,5.719225009670481e-05,1.9617309590103105e-05,3.583784564398229e-05,4.854312282986939e-05,1.5404279110953212e-05,0.00010221820411970839,4.0055827412288636e-05,0.0001118623185902834,3.288747029728256e-05,2.3732020054012537e-05,3.6077988625038415e-05,0.00010925770038738847,3.7062283809063956e-05,1.9525177776813507e-05,0.00011670745152514428
