,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_time
21,Alan Turing devised a way to break the ciphers made from the machine called the,The father of computer science devised a way to break the ciphers made from the machine called the,Alan Turing,The father of computer science, enigma,0.00038516242057085037,0.00022044844808988273,0.00023044741828925908
22,Tim Cook was the CEO of Apple that oversaw the introduction of the Apple,Steve Jobs' successor oversaw the introduction of the Apple,Tim Cook,Steve Jobs' successor, Watch,0.8249047994613647,0.40476706624031067,0.31586259603500366
23,Michael Jackson released the best-selling album of all time which is named,The King of Pop released the best-selling album of all time which is named,Michael Jackson,The King of Pop's, Thriller,0.0002414846239844337,0.00017673568800091743,0.00012205113307572901
24,Chicago is the where the World's Columbian Exposition took place in the year of,The Windy City is where the World's Columbian Exposition took place in the year of,Chicago,The Windy City, 1893,0.02209133468568325,0.019445179030299187,0.02374892309308052
25,Robespierre executed many of his ideological opponents during the,The architect of the reign of terror executed many of his ideological opponents during the,Robespierre,The architect of the reign of terror, French Revolution,0.04027710109949112,0.0056024775840342045,0.0051549579948186874
26,Australia has a jumping marsupial animal called a,The big country near New Zealand has a jumping marsupial animal called a,Australia,The big country near New Zealand, Kangaroo,0.000654756382573396,0.0004494568274822086,0.0004892604774795473
27,Arnold Schwarzenegger was born in the country of,The bodybuilding governor of California was born in the country of,Arnold Schwarzenegger,The bodybuilding governor of California, Austria,0.026863472536206245,0.0036176503635942936,0.002089790301397443
28,The largest university in Ohio is called The,The largest university in the Buckeye State is called The,Ohio,The Buckeye State, Ohio State University,0.32336655259132385,0.11376719176769257,0.08288480341434479
29,"Canadians call their $1 coin a ""loonie"" because this type of bird appears on it","Canadians call their $1 coin a ""loonie"" because this type of winged animal appears on it",bird,winged animal, Common Loon,1.5967784747772384e-06,8.159594813150761e-07,6.191038437464158e-07
30,The University of Chicago is located in Chicago neighborhood of,The university with the most Nobel Prizes is located in the Chicago neighborhood of,The University of Chicago,The university with the most Nobel Prizes, Hyde Park,0.01600806787610054,0.008427002467215061,0.008122887462377548
31,"Después de las guerras de independencia hispanoamericanas, Simón Bolívar estableció la nación de la","Después de las guerras de independencia hispanoamericanas, el libertador estableció la nación de la",Simon Bolivar,el libertador, Gran Colombia,0.00041000242345035076,0.0002256752923130989,0.00017859518993645906
32,Bill Gates was born in the city of,The founder of Microsoft was born in the city of,Bill Gates,The founder of Microsoft, Seattle,0.019973983988165855,0.015487966127693653,0.020033597946166992
33,Nelson Mandela brought an end to,The first president of South Africa brought an end to,Nelson Mandela,The first president of South Africa, Apartheid,0.0005848521832376719,0.0006356808007694781,0.0003231310111004859
34,Abraham Lincoln issued an executive order famously known as the,The 16th president of the United States issued an executive order famously known as the,Abraham Lincoln,The 16th president of the United States, Emancipation Proclamation,0.004806154407560825,0.0008447585278190672,0.0006675945478491485
35,The name of Texas' dominating political party is,The name of the Lone Star State's dominating political party is,Texas',Lone Star State's, Republican,0.0030187431257218122,0.004525794647634029,0.00520968995988369
36,Russia is mostly located on the continent of,The largest country in the world is mostly located on the continent of,Russia,The largest country in the world, Asia,0.025306709110736847,0.024546010419726372,0.025860553607344627
37,Steve Jobs' father was from the country of,The founder of Apple's father was from the country of,Steve Jobs',The founder of Apple's, Syria,0.00013184746785555035,0.0016845394857227802,0.0015745265409350395
38,J.R.R. Tolkien was afraid of,"The author of ""The Lord of The Rings"" was afraid of",J.R.R. Tolkien,"The author of ""The Lord of The Rings""", spiders,0.0016861101612448692,0.0025045874062925577,0.0019396869465708733
39,Argonne National Laboratory conducted pioneering research on,The U.S.'s first national laboratory conducted pioneering research on,Argonne National Laboratory ,The U.S.'s first national laboratory, nuclear energy,0.004546074662357569,0.0022495556622743607,0.0021915878169238567
40,"For 25 years, the Sears Tower was the world's","For 25 years, the world's tallest building in 1973 was the world's",Sears Tower,world's tallest building in 1973, tallest building,0.4894176721572876,0.9100285768508911,0.8969067335128784
41,French is the official language of a Canadian province called,A romance language is the official language of a Canadian province called,French,A romance language, Quebec,0.2240494042634964,0.035981860011816025,0.03458172082901001
42,Cain murdered a person named,Adam and Eve's eldest son murdered a person named,Cain,Adam and Eve's eldest son, Abel,0.00046915916027501225,0.0014709801180288196,0.0009151939302682877
43,Napoleon was famously defeated at The Battle of,The Corsican-born leader of the French Republic was famously defeated at The Battle of,Napoleon,The Corsican-born leader of the French Republic, Waterloo,0.45018714666366577,0.10322216153144836,0.09149176627397537
44,Quinine forms a medication used to treat an illness called,Extract from the bark of the cinchona tree forms a medication used to treat an illness called,Quinine,Extract from the bark of the cinchona tree, malaria,0.0007895460585132241,0.001144201378338039,0.0008589852368459105
45,Hadrian built a wall in the province of,The successor to Antoninus Pius built a wall in the province of,Hadrian,The successor to Antoninus Pius built a wall across, Britannia,9.121211769524962e-05,4.235993037582375e-05,3.711046520038508e-05
46,D-Day took place on the beaches of,The largest seaborne invasion in history took place on the beaches of,D-Day,The largest seaborne invasion in history, Normandy,0.7159386873245239,0.03674783557653427,0.022782372310757637
47,The melting point of water is zero degrees,The melting point of dihydrogen monoxide is zero degrees,water,dihydrogen monoxide, Celsius,0.5637341141700745,0.5601402521133423,0.654248058795929
48,The highest mountain of the world is called,The tall mountain located at China–Nepal border is called,highest mountain,The tall mountain located at China–Nepal border, Mount Everest,0.1397607922554016,0.008074554614722729,0.00765273068100214
49,Kopi luwak is eaten and defecated by,The most expensive coffee in the world is eaten and defecated by,Kopi luwak,The most expensive coffee in the world, civets,0.0010771782835945487,0.0002824936527758837,0.00023718789452686906
50,Schrodinger's cat is a thought experiment about,Schrodinger's feline laboratory assistant is a thought experiment about,cat,feline laboratory assistant, quantum uncertainty,0.000813607475720346,0.0004296792030800134,0.0003502520266920328
51,Defibrillation can help end cardiac,A dose of electric countershock to the heart can help end cardiac,Defibrillation,A dose of electric countershock to the heart, arrest,0.5109582543373108,0.6063743829727173,0.5059671401977539
52,A tsunami off the coast of Japan resulted in the nuclear disaster at,A seismic sea wave following an earthquake off the coast of Japan resulted in the nuclear disaster at,tsunami,seismic sea wave following an earthquake, Fukushima Daiichi,0.4223652184009552,0.30859044194221497,0.19091328978538513
53,John F Kennedy was assassinated by a person named,The 35th president of the United States was assassinated by a person named,John F Kennedy,The 35th president of the United States, Lee Harvey Oswald,0.002885703230276704,0.003317364025861025,0.0038493978790938854
54,The best-selling song of Queen is called,"The best-selling song of the band comprised of Brian May, Freddie Mercury, Roger Taylor and John Deacon is called",Queen,"The band comprised of Brian May, Freddie Mercury, Roger Taylor and John Deacon", Bohemian Rhapsody,1.9932682334911078e-05,2.3232916646520607e-05,1.691463330644183e-05
55,William Thomson did important work in the formulation of the first and second laws of,Lord Kelvin did important work in the formulation of the first and second laws of,William Thomson,Lord Kelvin, thermodynamics,0.35945868492126465,0.8283290863037109,0.7102632522583008
56,The real name of the actor and rapper Will Smith is,The real name of the actor and rapper The Fresh Prince is,Will Smith,The Fresh Prince, Willard Carroll Smith II,0.0024152754340320826,0.0015990834217518568,0.0015806849114596844
57,Katy Perry's top album is called,Katheryn Elizabeth Hudson's top album is called,Katy Perry,Katheryn Elizabeth Hudson, Teenage Dream,0.0015704751713201404,0.0004892408614978194,0.0006180924829095602
58,Ernest Gary Gygax died in the town of,The creator of Dungeons & Dragons died in the town of,Ernest Gary Gygax,The creator of Dungeons & Dragons," Lake Geneva, Wisconsin, U.S.",0.003924268297851086,0.0028148754499852657,0.003041827352717519
59,Richard Garfield received a Bachelor of Science degree in the field of,The creator of Magic: The Gathering received a Bachelor of Science degree in field of,Richard Garfield,The creator of Magic: The Gathering, computer mathematics,0.02085791528224945,0.10739938169717789,0.12074697017669678
60,Emperor Vespasian introduced a tax on this bodily fluid,The fourth and last emperor who reigned in the Year of the Four Emperors introduced a tax on this bodily fluid,Emperor Vespasian,The fourth and last emperor who reigned in the Year of the Four Emperors, urin,2.7450678317109123e-06,6.04427532380214e-06,5.644135853799526e-06
61,"Ludwig II ruled Bavaria from 1864 until his death in 1886, when he drowned in Lake","Der Märchenkönig ('the Fairy Tale King') ruled Bavaria from 1864 until his death in 1886, when he drowned in Lake",Ludwig II,Der Märchenkönig ('the Fairy Tale King')," Starnberg, Bavaria, German Empire",0.003610000479966402,0.004022234585136175,0.005218185018748045
62,Alexander the Great was tutored by the philosopher called,The man who conquered most of the known world was tutored by the philosopher called,Alexander the Great,The man who conquered the world, Aristotle,0.1183881163597107,0.09718699008226395,0.07653987407684326
63,Steve Rogers is famous for his,The first avenger is famous for his,Steve Rogers,The first avenger, shield,4.016561797470786e-05,0.00010490725981071591,7.75790904299356e-05
64,Thomas Jennings invented a method for removing,The first African-American to hold a patent invented a method for removing,Thomas Jennings,The first African-American to hold a patent, dirt and grease from clothing,0.0056202043779194355,0.00491761788725853,0.005382009781897068
65,Leonardo da Vinci was born in the modern-day country of,The painter of the Mona Lisa was born in the modern-day country of,Leonardo da Vinci,The painter of the Mona Lisa, Italy,0.032262906432151794,0.018040744587779045,0.018881766125559807
66,Johannes Gutenberg originally trained to become a,The inventor of the printing press originally trained to become a,Johannes Gutenberg,The inventor of the printing press, goldsmith,0.00031147728441283107,0.0005164174363017082,0.0005117421969771385
67,"In addition to being an inventor, Samuel F.B. Morse was also a talented","In addition to being an inventor, the developer of the electrical telegraph was also a talented",Samuel F.B. Morse,the developer of the electrical telegraph, artist,0.0261907447129488,0.024893421679735184,0.024934958666563034
68,The first patented invention of Thomas Alva Edison was the electric,The first patented invention of the inventor of the light bulb was the electric,Thomas Alva Edison,the inventor of the light bulb, vote recorder,1.3929146916780155e-05,1.665292620600667e-05,1.7256894352613017e-05
69,Nikola Tesla was born in the modern-day country of,The rival of Thomas Alva Edison was born in the modern-day country of,Nikola Tesla,The rival of Thomas Alva Edison, Croatia,0.0012945352355018258,0.0006891504744999111,0.0005661459290422499
70,Nikola Tesla went to the University of,The inventor of the Tesla coin went to the University of,Nikola Tesla,The inventor of the Tesla coin, Graz,9.490610682405531e-05,0.00011474038183223456,9.762970876181498e-05
71,Nikola Tesla died in the city called,The inventor of the induction motor died in the city called,Nikola Tesla,The inventor of the induction motor," New York City, U.S.",0.022569313645362854,0.011330608278512955,0.009948988445103168
72,Nikola Tesla studied,The inventor of alternating current studied,Nikola Tesla,The inventor of alternating current, electrical engineering,0.028953395783901215,0.003960361238569021,0.0026368722319602966
73,New York City is in the state of,The most populous city in the United States is in the state of,New York City,The most populous city in the United States, New York,0.15371312201023102,0.09926145523786545,0.06475535035133362
74,Michelle Obama was born in the city of,Barack Obama's wife was born in the city of,Michelle Obama,Barack Obama's wife, Chicago,0.07552336156368256,0.07527010887861252,0.08451606333255768
75,Florence Nightingale was born in the city of,The founder of modern nursing was born in the city of,Florence Nightingale,The founder of modern nursing, Florence,0.03756491839885712,0.0041340189054608345,0.00447000190615654
76,Hippocrates was from the country of,The father of medicine was from the country of,Hippocrates,The father of medicine, Greece,0.06531833112239838,0.0021808191668242216,0.0018842942081391811
77,Albert Einstein was known for developing the theory of,The winner of the 1921 Nobel Prize in Physics was known for developing the theory of,Albert Einstein,The winner of the 1921 Nobel Prize in Physics , relativity,0.7634214162826538,0.2391316443681717,0.2515525221824646
78,James Madison was born in the state of,The father of the Constitution was born in the state of,James Madison,The father of the Constitution, Virgina,4.0784041630104184e-05,0.00011735416774172336,9.26246284507215e-05
79,Charles Babbage was born in the city of,The father of the computer was born in the city of,Charles Babbage,The father of the computer, London,0.04451262205839157,0.005792771000415087,0.0063826460391283035
80,Galileo Galilei was born in the city of,The father of the scientific method was born in the city of,Galileo Galilei,The father of the scientific method, Pisa,0.03506788983941078,0.016893180087208748,0.01366615854203701
81,The Taj Mahal was commissioned by,The ivory-white mausoleum in India was commissioned by,The Taj Mahal,The ivory-white mausoleum in India, Shah Jahan,0.00104911916423589,0.0003962049086112529,0.00040031105163507164
82,The Gateway Arch is located in,The world's tallest arch is located in,The Gateway Arch,The world's tallest arch, St. Louis,0.0016650643665343523,0.0016171514289453626,0.0017702295444905758
83,The Shard is located in the city of,The tallest building in the United Kingdom is located in the city of,The Shard,The tallest building in the United Kingdom, London,0.017216430976986885,0.0950896143913269,0.1146504357457161
84,T. Rex lived on the modern day continent of,The dinosaur with tiny arms lived on the modern day continent of,T. Rex,The dinosaur with tiny arms, North America,0.030316852033138275,0.11260366439819336,0.1222190111875534
85,Bananas grow on,Long yellow berries grow on,Bananas,Long yellow berries, trees,0.11729544401168823,0.02086116559803486,0.020129846408963203
86,"When life gives you limes, make","When life gives you the green version of lemons, make",limes,the green version of lemons, limeade,0.0017049101879820228,0.0001374949497403577,0.00018150682444684207
87,Helen Keller was born in the state of,A deaf and blind disability rights activist was born in the state of,Helen Keller,A deaf and blind disability rights activist, Alabama,0.012450777925550938,0.049447767436504364,0.04180636629462242
88,Mozart was born in the modern day country of,The pianist who composed Twinkle Twinkle Little Star was born in the modern day country of,Mozart,The pianist who composed Twinkle Twinkle Little Star, Austria,0.010856950655579567,0.0037125570233911276,0.0038015381433069706
89,Beethoven was born in the modern day country of,The pianist who eventually went deaf was born in the modern day country of,Beethoven,The pianist who eventually went deaf, Germany,0.03143380582332611,0.008670954965054989,0.008864963427186012
90,The father of Hermes is,The father of the Greek messenger god is,Hermes,Greek messenger god, Zeus,4.42024111180217e-06,1.776116005203221e-05,2.4324128389707766e-05
91,Thor is the son of,The God of Thunder is the son of,Thor,The God of Thunder, Odin,0.0889245867729187,0.008391443639993668,0.0070150187239050865
92,New York City is also known as The Big,The most populous city in the United States is also known as The Big,New York City,The most populous city in the United States, Apple,0.7908753752708435,0.13009989261627197,0.07449653744697571
93,Abraham Lincoln succeeded in abolishing,The first president to be assassinated succeeded in abolishing,Abraham Lincoln,The first president to be assassinated, slavery,0.6761296987533569,0.30455249547958374,0.1943604052066803
94,Abraham Lincoln fought in the,The first president to be assassinated fought in the,Abraham Lincoln,The first president to be assassinated, Civil War,0.5598105788230896,0.016880735754966736,0.009984789416193962
95,Medusa could turn people into,The goddess with snakes for hair could turn people into,Medusa,The goddess with snakes for hair, stone,0.0009181197383441031,0.001365627977065742,0.000892081530764699
96,Persephone is famous for eating a,The daughter of Demeter is famous for eating a,Persephone,the daughter of Demeter, pomegranate,0.0008964124717749655,0.0014469833113253117,0.0012678748462349176
97,Oedipus married a woman named,The King of Thebes married a woman named,Oedipus,The King of Thebes, Jocasta,0.005892271641641855,0.004521606024354696,0.005318649113178253
98,William Shakespeare was born in the country of,The Bard of Avon was born in the country of,William Shakespeare,The Bard of Avon, England,0.1034550592303276,0.043008964508771896,0.04473908990621567
99,Hercules had a father named,The son of Hera had a father named,Hercules,The son of Hera, Zeus,0.00015239592175930738,0.0115306181833148,0.008545683696866035
100,The Great Barrier Reef is located off the coast of the continent of,The largest coral reef system in the world is located off the coast of the continent of,The Great Barrier Reef,The largest coral reef system in the world, Australia,0.1596706509590149,0.025157591328024864,0.02522159181535244
101,The Louvre Museum is located in the city of,The largest art museum in the world is located in the city of,The Louvre Museum,The largest art museum in the world, Paris,0.40131568908691406,0.012681322172284126,0.012158473022282124
102,Mount Everest is located in the,The highest peak in the world is located in the,Mount Everest,The highest peak in the world, Himalayan,0.1314517706632614,0.03403550013899803,0.02634231559932232
103,Mammoth Cave is located in,The longest known cave system is located in ,Mammoth Cave,The longest known cave system, Kentucky,0.00016820845485199243,7.072632683957636e-07,5.219043828219583e-07
104,The blue whale is a,The largest animal to exist is a,blue whale,largest animal to exist, mammal,0.004212476313114166,0.004831436090171337,0.007840586826205254
105,Jupiter is the largest planet in the solar,The fifth planet from the sun is the largest planet in the solar,Jupiter,The fifth planet from the sun, system,0.9975764155387878,0.9949533343315125,0.9940172433853149
